model,arm,scoring,micro_f1_mean,micro_f1_sd,fixed_reference_recall_mean,fixed_reference_recall_sd,exact_match_mean,exact_match_sd
anthropic/claude-haiku-4.5,additive_pos,set,68.60606060606061,0.0,82.6470588235294,0.0,55.80110497237569,0.0
anthropic/claude-haiku-4.5,additive_pos,unique_position,53.12117503059975,0.0,58.529411764705884,0.0,52.20994475138122,0.0
anthropic/claude-haiku-4.5,additive_verbs,set,66.3529411764706,0.0,82.35294117647058,0.0,54.972375690607734,0.0
anthropic/claude-haiku-4.5,additive_verbs,unique_position,51.543942992874115,0.0,58.529411764705884,0.0,51.657458563535904,0.0
anthropic/claude-haiku-4.5,all_verbs,set,67.76232616940582,0.0,77.94117647058823,0.0,55.52486187845304,0.0
anthropic/claude-haiku-4.5,all_verbs,unique_position,53.43511450381679,0.0,56.1764705882353,0.0,51.93370165745856,0.0
anthropic/claude-haiku-4.5,baseline,set,70.55837563451777,0.0,81.76470588235294,0.0,57.182320441988956,0.0
anthropic/claude-haiku-4.5,baseline,unique_position,55.49872122762148,0.0,58.529411764705884,0.0,53.591160220994475,0.0
anthropic/claude-haiku-4.5,context_pos,set,69.36708860759494,0.0,79.70588235294119,0.0,56.62983425414365,0.0
anthropic/claude-haiku-4.5,context_pos,unique_position,54.4529262086514,0.0,57.05882352941176,0.0,52.762430939226526,0.0
anthropic/claude-sonnet-4.5,additive_pos,set,73.7931583549474,0.2226552393098694,84.53949903660886,0.27009622557272084,61.767955801104975,0.15130457389645083
anthropic/claude-sonnet-4.5,additive_pos,unique_position,59.26300988180585,0.18593991877030092,62.2466281310212,0.15987770061464868,58.7292817679558,0.1513045738964586
anthropic/claude-sonnet-4.5,additive_verbs,set,72.33394148217229,0.2031508908706235,84.24997905671442,0.27031764081352677,60.11049723756906,0.1513045738964547
anthropic/claude-sonnet-4.5,additive_verbs,unique_position,58.285377652885124,0.16509764447230424,62.2466281310212,0.15987770061464868,57.348066298342545,0.15130457389645083
anthropic/claude-sonnet-4.5,all_verbs,set,71.3164579041102,0.21443375103343282,78.74909943871995,0.27463629203859846,60.11049723756906,0.1513045738964547
anthropic/claude-sonnet-4.5,all_verbs,unique_position,57.06772850571907,0.17406049886549285,57.903828432604506,0.16145673157446322,57.348066298342545,0.15130457389645083
anthropic/claude-sonnet-4.5,baseline,set,75.91950974023243,0.21019939766163642,84.24997905671442,0.27031764081352677,63.97790055248619,0.1513045738964586
anthropic/claude-sonnet-4.5,baseline,unique_position,61.19123898066283,0.1722213715889663,62.2466281310212,0.15987770061464868,60.38674033149171,0.1513045738964547
anthropic/claude-sonnet-4.5,context_pos,set,73.4063314681855,0.21257584991867143,81.06525927787551,0.27279228820638074,62.04419889502763,0.1513045738964586
